area,stories,bedrooms,bathrooms,airconditioning,parking,prefarea,furnishingstatus,price
6000,4,3,2,yes,1,no,furnished,7525000
7200,1,3,2,yes,3,no,semi-furnished,6300000
3816,1,2,1,yes,2,no,furnished,3920000
2610,2,3,1,no,0,yes,unfurnished,3430000
3750,2,3,1,no,0,no,unfurnished,3010000
5010,2,3,1,no,0,no,semi-furnished,4620000
3850,2,3,1,no,0,no,unfurnished,1750000
5076,1,3,1,no,0,no,unfurnished,3010000
3180,1,3,1,no,0,no,unfurnished,2520000
6020,1,3,1,no,0,no,semi-furnished,3710000
3120,2,3,1,no,0,no,semi-furnished,3703000
7700,1,2,1,no,0,no,unfurnished,2450000
7000,1,3,1,no,3,no,furnished,4200000
3570,2,3,1,no,0,no,semi-furnished,3640000
3000,2,2,1,yes,0,no,furnished,3640000
6450,1,3,2,no,0,no,unfurnished,5383000
2400,1,3,1,no,0,no,semi-furnished,1767150
5300,1,4,2,yes,0,yes,unfurnished,5250000
7424,1,3,1,no,0,no,unfurnished,3500000
12090,2,4,2,no,2,yes,furnished,6790000
7260,1,3,2,no,3,no,furnished,3920000
3000,2,3,1,no,0,no,semi-furnished,3920000
5200,3,3,1,yes,0,no,semi-furnished,5810000
8400,2,3,1,yes,2,yes,unfurnished,5250000
6525,4,3,2,no,1,no,furnished,5950000
3650,2,3,1,no,0,no,unfurnished,3500000
3635,1,2,1,no,0,no,unfurnished,2408000
4000,1,3,1,no,0,no,semi-furnished,2660000
4600,1,2,2,yes,2,no,semi-furnished,5285000
5640,1,2,1,no,0,no,semi-furnished,3675000
3520,2,3,1,no,0,yes,semi-furnished,4200000
1836,1,2,1,no,0,no,semi-furnished,2275000
3150,2,3,1,no,0,no,furnished,3570000
5680,2,3,1,yes,1,no,semi-furnished,4620000
2145,3,3,1,no,1,yes,unfurnished,4200000
8100,1,2,1,no,1,no,unfurnished,3087000
3930,1,2,1,no,0,no,unfurnished,3255000
6420,2,3,2,yes,1,yes,semi-furnished,8855000
4130,2,3,2,no,2,no,semi-furnished,3640000
11440,2,4,1,no,1,yes,semi-furnished,7343000
9667,2,4,2,no,1,no,semi-furnished,4690000
10360,1,2,1,no,1,yes,semi-furnished,4305000
5960,2,3,1,no,0,no,unfurnished,3640000
2880,2,3,1,no,0,yes,semi-furnished,4403000
6360,2,2,1,no,0,no,unfurnished,4270000
3480,2,3,1,no,1,no,semi-furnished,2940000
8100,4,4,1,yes,2,no,semi-furnished,4795000
6540,2,4,2,yes,2,yes,furnished,8540000
2787,1,3,1,no,0,yes,furnished,4235000
6480,4,3,2,yes,2,no,unfurnished,7700000
3600,2,6,1,no,1,no,unfurnished,3500000
3185,1,2,1,no,2,no,furnished,3360000
4410,2,4,3,no,2,no,semi-furnished,4970000
9000,2,3,1,no,2,no,semi-furnished,3150000
3650,2,3,2,no,2,no,semi-furnished,5530000
7160,1,3,1,no,2,yes,unfurnished,5880000
3584,1,2,1,no,0,no,semi-furnished,3710000
4280,1,2,1,yes,2,no,semi-furnished,3640000
7000,4,3,1,yes,2,no,semi-furnished,8400000
9620,1,3,1,no,2,yes,furnished,6083000
9166,1,2,1,yes,2,no,semi-furnished,4760000
2160,2,3,1,no,0,no,semi-furnished,3080000
6050,1,3,1,no,0,yes,semi-furnished,5243000
